"spp","spp_num","common_name","sci_name","Nobs","birdofprey","hummingbird","woodpecker","waterfowl","shorebirds","waterbird_guild","SGCN","ESA","MEXFED","USFS","BLM","Mass","Hand.Wing.Index","dietdiv","effect_urb","effect_temp","effect_tempint","effect_veg","effect_vegint","dynamic","effect_highertemp","effect_lessgreen","mean_effect_urb","median_effect_urb","low95_effect_urb","upp95_effect_urb","low90_effect_urb","upp90_effect_urb","mean_effect_temp","median_effect_temp","low95_effect_temp","upp95_effect_temp","low90_effect_temp","upp90_effect_temp","mean_effect_tempint","median_effect_tempint","low95_effect_tempint","upp95_effect_tempint","low90_effect_tempint","upp90_effect_tempint","mean_effect_veg","median_effect_veg","low95_effect_veg","upp95_effect_veg","low90_effect_veg","upp90_effect_veg","mean_effect_vegint","median_effect_vegint","low95_effect_vegint","upp95_effect_vegint","low90_effect_vegint","upp90_effect_vegint","mean_theta","median_theta","low95_theta","upp95_theta","low90_theta","upp90_theta","order_urbeffect","order_tempeffect","order_vegeffect","order_mass","order_HWI","order_dietdiv","order_theta"
"ABTO",1,"Abert's Towhee","Melozone aberti",410,0,0,0,0,0,NA,2,NA,NA,"S",NA,45.9,12.8,0.500402423538188,"Neutral","Neutral","Negative","Neutral","Neutral","Y","Less urban-associated",NA,0.00467909968338921,0.00444628680288887,-0.245875134535741,0.254485278292652,-0.20438066813005,0.214582695917159,0.134273830002355,0.134245285465393,-0.169804659983048,0.441538795637727,-0.120466432624478,0.392298439934955,-0.225351405074411,-0.224721354933092,-0.471956906279706,0.0161115024852675,-0.431737147514817,-0.022558704917774,0.133144745681549,0.133127006856979,-0.0778583884268558,0.346807277507986,-0.0430099979155154,0.311409999737031,-0.0682144487307765,-0.069975694217955,-0.284541186635117,0.157526303531181,-0.25065122960007,0.119199915830666,0.964052628365301,0.965285044195535,0.938994510426015,0.982017609845509,0.943973934188404,0.979788636482535,"109","51","71","72","4","42","15"
"AMCO",2,"American Coot","Fulica americana",26,0,0,0,0,0,"Marsh Bird",NA,NA,NA,NA,NA,636.7,36.3,1.05492016798614,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.318789729415159,-0.318418221620035,-1.00987662873278,0.358695426901231,-0.891104378397362,0.244652608090461,0.368296286136651,0.363239061671413,-0.194098043653592,0.944202345479706,-0.104489580512376,0.850223659671486,-0.370833251939065,-0.369959144156555,-0.917504958643293,0.172756013445261,-0.830973418355098,0.0868548083911381,0.13411135271094,0.134951125496049,-0.349188398251773,0.606128096892797,-0.267826989422421,0.526529364397239,-0.196426048038294,-0.20007399171242,-0.646412689191062,0.283919908094682,-0.578698080638049,0.202866977223664,0.998965180371226,0.99921191479372,0.996646674403733,0.999842154330256,0.997302489117438,0.999791626248982,"77","124","72","118","100","119","136"
"AMCR",3,"American Crow","Corvus brachyrhynchos",3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,448.8,36.5,1.88669678465808,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.416918271208303,-0.41062982994676,-1.36780360791726,0.491664117884255,-1.20721375615772,0.348972487215422,-0.100845502724075,-0.0984370333659264,-0.721709180288194,0.507932786814472,-0.62104660313366,0.409182074931989,-0.191843685966484,-0.193799413319716,-0.777092486007377,0.398077360211354,-0.683398866070505,0.304842937093491,0.211020033874146,0.212844848263383,-0.369935872112582,0.789362120111168,-0.272328662026344,0.696488815949643,-0.0896992921214411,-0.0948168079425318,-0.621204403721237,0.473214181176756,-0.537535840479216,0.3745499012933,0.935691213406517,0.972360028752014,0.63226124793831,0.998364125197421,0.739386529280817,0.997332830934224,"68","12","83","114","101","138","26"
"AMKE",4,"American Kestrel","Falco sparverius",82,1,0,0,0,0,NA,2,NA,NA,NA,NA,114.6,43.7,0.950270539233235,"Neutral","Neutral","Neutral","Positive","Positive","Y",NA,"Less urban-associated, lower overall occupancy",-0.0336875752959335,-0.0318585190067179,-0.452700616784534,0.370245240078698,-0.377441252297509,0.303002406124625,0.0710120974334868,0.0703554376262663,-0.369979976018961,0.513408854167253,-0.297190973081872,0.439439892919498,0.266177052574709,0.265056518250451,-0.152295468596412,0.684846129188824,-0.0829746575812718,0.619180795232761,0.366674407105817,0.356991135416052,0.00062070244490821,0.784057462709395,0.0578586737020894,0.705416096292432,0.377764349325816,0.37294764509225,-0.00287324941966336,0.780336147116192,0.0572406300739371,0.713430930065843,0.971185338251988,0.980975727901209,0.885192968950416,0.997160542246241,0.912551069537271,0.996074087671515,"104","37","111","90","115","109","47"
"ANHU",5,"Anna's Hummingbird","Calypte anna",559,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4.2,65.6,0.325082973391448,"Adapter","Neutral","Neutral","Neutral","Positive","Y",NA,"Less urban-associated",0.677106581519547,0.674944556107272,0.412932744302962,0.949358781377579,0.456337645688718,0.903955356236366,0.226615502880472,0.228017346513267,-0.100280001458474,0.551551747095863,-0.0488098287688844,0.501438966307691,0.0254372123063168,0.0254146329376096,-0.250796603275275,0.305029952495651,-0.20986705212772,0.259474304631636,0.149034918798343,0.149830336297425,-0.0866688121038638,0.375588397030597,-0.0438518441520553,0.338707674753929,0.227532400454205,0.228641618240509,-0.0197783218526147,0.466534613501751,0.0230879251548158,0.428123639623797,0.968229110257954,0.969953214840437,0.939410616768539,0.98721407542514,0.945584186446294,0.985098500520419,"130","88","76","3","138","40","21"
"ATFL",6,"Ash-throated Flycatcher","Myiarchus cinerascens",182,0,0,0,0,0,NA,NA,NA,NA,NA,NA,28.2,20.4,0.801818552543337,"Avoider","Neutral","Negative","Negative","Neutral","Y","Less urban-associated","Higher overall occupancy",-1.70804200044913,-1.69355493051543,-2.27021343855105,-1.22840906275046,-2.17028019107714,-1.29625496331547,-0.135430444830262,-0.135941955743013,-0.567255352268884,0.303487090353217,-0.497270437317663,0.232100836783167,-0.381194575895299,-0.378981493938759,-0.801439166223425,0.0258946124265379,-0.731823362941992,-0.0365558809957192,-0.597496831444765,-0.592524429045807,-1.0061765807191,-0.21119601438737,-0.939300295706356,-0.269597386617427,0.116068917847122,0.110934035490439,-0.28084970452027,0.542682527182552,-0.221872106931728,0.471027194894265,0.923497507189687,0.935792501423239,0.792030247725564,0.985029752747173,0.824640636012461,0.980619250120767,"1","8","1","56","27","85","5"
"BAEA",7,"Bald Eagle","Haliaeetus leucocephalus",10,1,0,0,0,0,"Fish eating",1,"SC","P","S","S",4700.6,41.4,1.3661588475692,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-1.09944150042051,-1.08053684079258,-2.10436745749409,-0.192866179207026,-1.9323098078372,-0.326441247758157,0.0664190473091722,0.0654280059847255,-0.554563163032697,0.697137474118076,-0.453897249843052,0.591860458877867,-0.514740774588236,-0.51029538162817,-1.15254216202916,0.102578712092118,-1.04523568939962,0.000192556710790376,0.391780878888047,0.390211001465562,-0.154177317408756,0.948508176738085,-0.0639007942266648,0.856179818935727,-0.278112820226039,-0.271381194862828,-0.862386252742948,0.287212279645322,-0.770328054734856,0.199121974107007,0.995108996104685,0.997437539463526,0.975953779848247,0.999800998811696,0.9831343782713,0.999688366136137,"12","36","116","139","113","132","124"
"BBWD",8,"Black-bellied Whistling-Duck","Dendrocygna autumnalis",11,0,0,0,1,0,"Dabbler",2,NA,NA,NA,NA,755.3,32.7,0.325082973391448,"Neutral","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-0.169215158319324,-0.165796101817395,-1.08601862412064,0.741262376475913,-0.936762057070433,0.598472741800575,0.230611416494538,0.227755652738623,-0.367793644927438,0.846473321579544,-0.269417725611005,0.743708719635569,-0.463095822493381,-0.458756476634639,-1.08087835228659,0.13355516070184,-0.977329974088031,0.0395103169191367,0.431684274977364,0.433243920100839,-0.118722885839842,0.975285610793997,-0.0266818961745677,0.888131225313114,-0.0372499346036588,-0.0420496232174445,-0.565439593640425,0.521484277199863,-0.484244828219478,0.424868698077892,0.99822404504229,0.9990918941153,0.99126727696565,0.9999288904674,0.993849292555886,0.999886505246913,"93","87","119","121","90","32","135"
"BCFL",9,"Brown-crested Flycatcher","Myiarchus tyrannulus",8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,35.5,16.6,0.801818552543337,"Avoider","Neutral","Neutral","Neutral","Neutral","N",NA,NA,-1.09991027320712,-1.08427801761303,-1.96139320027816,-0.325388502347556,-1.80885811880293,-0.441829413001103,-0.0535488083566322,-0.0529734969655674,-0.62644717513752,0.510172887792376,-0.533353132135763,0.422930093009635,-0.209662077145395,-0.208426235125011,-0.770945801024439,0.335309057198073,-0.675264564306292,0.246619871813627,0.0247146607658324,0.024671728531029,-0.496432198093602,0.549503670405304,-0.411771465155475,0.463598634101099,-0.282789460166888,-0.283554499183098,-0.77506026051302,0.213891013292093,-0.698155384884689,0.136370872836405,0.968613157052972,0.981337235759303,0.863496876212782,0.99764127137558,0.898012495324567,0.996727333183836,"11","19","43","62","14","84","50"
"BCHU",10,"Black-chinned Hummingbird","Archilochus alexandri",59,0,1,0,0,0,NA,NA,NA,NA,NA,NA,3.4,64.4,0.325082973391448,"Neutral","Positive","Neutral","Neutral","Neutral","Y","Higher overall occupancy",NA,-0.216131779783676,-0.214242400583175,-0.651088804568681,0.210191105984374,-0.578051466043924,0.143014521747387,0.574724720161237,0.571035500945026,0.105310907512576,1.06101966228853,0.177984176275778,0.987400900107479,0.0199446349564437,0.0213141692540161,-0.433332072482848,0.467471098187623,-0.359417836142579,0.394482638613096,0.251268026416104,0.250983451758156,-0.134022898224234,0.633956499443345,-0.0724487300850684,0.573828229168398,0.0893340249134964,0.0834753660223627,-0.296220218720495,0.500884096508689,-0.236076273691765,0.431273997098662,0.997491675814566,0.998050041942239,0.992106076400423,0.999579336098895,0.993650153976649,0.999460415275042,"88","138","94","2","137","39","125"
