"common_name","code","sci_name","code6"
"Abert's Towhee","ABTO","Melozone aberti","MELABE"
"Acorn Woodpecker","ACWO","Melanerpes formicivorus","MELFOR"
"African Collared-Dove","AFCD","Streptopelia roseogrisea","STRROS"
"American Goldfinch","AGOL","Spinus tristis","SPITRI"
"American Avocet","AMAV","Recurvirostra americana","RECAME"
"American Bittern","AMBI","Botaurus lentiginosus","BOTLEN"
"American Coot","AMCO","Fulica americana","FULAME"
"American Crow","AMCR","Corvus brachyrhynchos","CORBRA"
"American Kestrel","AMKE","Falco sparverius","FALSPA"
"American Pipit","AMPI","Anthus rubescens","ANTRUB"
"American Robin","AMRO","Turdus migratorius","TURMIG"
"American Wigeon","AMWI","Mareca americana","MARAME"
"Anna's Hummingbird","ANHU","Calypte anna","CALANN"
"Ash-throated Flycatcher","ATFL","Myiarchus cinerascens","MYICIN"
"American White Pelican","AWPE","Pelecanus erythrorhynchos","PELERY"
"Bald Eagle","BAEA","Haliaeetus leucocephalus","HALLEU"
"Bank Swallow","BANS","Riparia riparia","RIPRIP"
"Barn Swallow","BARS","Hirundo rustica","HIRRUS"
"Black-and-white Warbler","BAWW","Mniotilta varia","MNIVAR"
"Black-bellied Whistling-Duck","BBWD","Dendrocygna autumnalis","DENAUT"
"Brown-crested Flycatcher","BCFL","Myiarchus tyrannulus","MYITYR"
"Black-chinned Hummingbird","BCHU","Archilochus alexandri","ARCALE"
"Black-crowned Night-Heron","BCNH","Nycticorax nycticorax","NYCNYC"
"Black-chinned Sparrow","BCSP","Spizella atrogularis","SPIATG"
"Belted Kingfisher","BEKI","Megaceryle alcyon","MEGALC"
"Bendire's Thrasher","BETH","Toxostoma bendirei","TOXBEN"
"Bell's Vireo","BEVI","Vireo bellii","VIRBEL"
"Bewick's Wren","BEWR","Thryomanes bewickii","THRBEW"
"Blue-gray Gnatcatcher","BGGN","Polioptila caerulea","POLCAE"
"Brown-headed Cowbird","BHCO","Molothrus ater","MOLATE"
"Black-headed Grosbeak","BHGR","Pheucticus melanocephalus","PHEMEL"
"Blue Grosbeak","BLGR","Passerina caerulea","PASCAE"
"Blue Jay","BLJA","Cyanocitta cristata","CYACRI"
"Black Phoebe","BLPH","Sayornis nigricans","SAYNIG"
"Black Vulture","BLVU","Coragyps atratus","CORATR"
"Black-necked Stilt","BNST","Himantopus mexicanus","HIMMEX"
"Brewer's Blackbird","BRBL","Euphagus cyanocephalus","EUPCYC"
"Brown Creeper","BRCR","Certhia americana","CERAME"
"Bronzed Cowbird","BROC","Molothrus aeneus","MOLAEN"
"Brown Pelican","BRPE","Pelecanus occidentalis","PELOCC"
"Brewer's Sparrow","BRSP","Spizella breweri","SPIBRE"
"Brown Thrasher","BRTH","Toxostoma rufum","TOXRUF"
"Bridled Titmouse","BRTI","Baeolophus wollweberi","BAEWOL"
"Black-tailed Gnatcatcher","BTGN","Polioptila melanura","POLMEL"
"Broad-tailed Hummingbird","BTHU","Selasphorus platycercus","SELPLA"
"Black-throated Sparrow","BTSP","Amphispiza bilineata","AMPBIL"
