"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta0.comm",-1.85342246921947,0.214002323858696,-2.28510654665053,-1.99404093979173,-1.85017835481465,-1.70641885483071,-1.44856947620468,1.01032560489928,248,0,1
"beta.comm[1]",-4.14443623462447,0.147808940408229,-4.44786441339964,-4.24054516263414,-4.1407133140618,-4.0432673679072,-3.86464910535756,1.00538623541411,605,0,1
"beta.comm[2]",-0.339861374705878,0.0677166739816268,-0.474417649228857,-0.384668437632031,-0.339305143872359,-0.294044760055862,-0.209209035875262,1.00279674378372,896,0,1
"beta.comm[3]",0.131193513243351,0.0470447605508004,0.0391029024634779,0.0996504947750199,0.131166312231141,0.163190360138895,0.223216140492826,1.00243386177511,1079,0,0.997525
"beta.comm[4]",-0.294993935527347,0.0495887187663504,-0.395253556364306,-0.327600469300299,-0.293971475838632,-0.261503967415742,-0.200420985728264,1.00072924026931,3841,0,1
"beta.comm[5]",0.123739893837656,0.043623909780258,0.0387653303735213,0.0941622567384977,0.123726399258605,0.153008218119089,0.209417961022419,1.00063680729015,4114,0,0.997825
"beta.comm[6]",-0.0686125898177889,0.0433066507964727,-0.153895952646813,-0.0979090386451336,-0.0682726154241849,-0.0394266300312573,0.0160060026552306,1.00076268643624,3352,1,0.943375
"rho.comm",-2.16393901923568,0.14943384543129,-2.46234105750498,-2.26327304876263,-2.16353960684319,-2.06105380979489,-1.87838100572312,1.01429768293104,184,0,1
"tau.beta.comm[1]",0.579532720831806,0.0952256669862414,0.414217684300917,0.512296887722396,0.57237335060108,0.638850322168021,0.786531976115491,1.0009228396904,2788,0,1
"tau.beta.comm[2]",2.37010992290237,0.374181842871658,1.71271087997401,2.10537844051836,2.34670286537326,2.60418702108183,3.17039086637444,1.00171617587264,1548,0,1
"tau.beta.comm[3]",9.40707313186621,2.12006937964294,5.92107638896402,7.89469243782614,9.18518706587151,10.6895225409951,14.1387647391917,1.00088019522915,2798,0,1
