"spp","spp_num","common_name","sci_name","Nobs","birdofprey","hummingbird","woodpecker","waterfowl","shorebirds","waterbird_guild","SGCN","ESA","MEXFED","USFS","BLM","Mass","Hand.Wing.Index","dietdiv","effect_urb","effect_temp","effect_tempint","effect_veg","effect_vegint","dynamic","effect_highertemp","effect_lessgreen","mean_effect_urb","median_effect_urb","f_urb","low95_effect_urb","upp95_effect_urb","low90_effect_urb","upp90_effect_urb","mean_effect_temp","median_effect_temp","f_temp","low95_effect_temp","upp95_effect_temp","low90_effect_temp","upp90_effect_temp","mean_effect_tempint","median_effect_tempint","f_tempint","low95_effect_tempint","upp95_effect_tempint","low90_effect_tempint","upp90_effect_tempint","mean_effect_veg","median_effect_veg","f_veg","low95_effect_veg","upp95_effect_veg","low90_effect_veg","upp90_effect_veg","mean_effect_vegint","median_effect_vegint","f_vegint","low95_effect_vegint","upp95_effect_vegint","low90_effect_vegint","upp90_effect_vegint","mean_theta","median_theta","low95_theta","upp95_theta","low90_theta","upp90_theta","order_urbeffect","order_tempeffect","order_vegeffect","order_mass","order_HWI","order_dietdiv","order_theta"
"ABTO",1,"Abert's Towhee","Melozone aberti",410,0,0,0,0,0,NA,2,NA,NA,"S",NA,45.9,12.8,0.500402423538188,"2_Uncertain","2_Uncertain","1_Negative","2_Uncertain","2_Uncertain","Y","Less urban",NA,0.00150617655848594,0.00167554104505944,0.50575,-0.24929646597879,0.247651104489204,-0.20883208411252,0.208700621407589,0.136346650121524,0.136321951647931,0.819,-0.155786821751943,0.430355677105756,-0.109477077881357,0.381163501742691,-0.233191105169945,-0.232135440619436,0.970125,-0.480152396334333,0.00948553749206867,-0.440228580146295,-0.0301938651255265,0.12663451285071,0.12673912696305,0.87725,-0.0894618561074254,0.338895301678803,-0.0521574293835766,0.304307409887579,-0.0703461995393228,-0.0706674212443313,0.73295,-0.291412724016265,0.154096623946598,-0.256671371084713,0.117713270840128,0.964730724454192,0.965979980271232,0.940784346261051,0.98182982769389,0.945352865524728,0.979882957987039,"106","64","73","72","4","42","7"
"AMCO",2,"American Coot","Fulica americana",26,0,0,0,0,0,"Marsh Bird",NA,NA,NA,NA,NA,636.7,36.3,1.05492016798614,"2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","N",NA,NA,-0.296872279733038,-0.29613266052445,0.8142,-0.956347415459739,0.3564661124478,-0.848611411277995,0.247735023744753,0.315847073094792,0.312493189768345,0.867825,-0.235389637188059,0.881478613780386,-0.149004495671027,0.793195313034454,-0.449590382860354,-0.447568313143979,0.9437,-1.01771383583209,0.104723584372093,-0.924994897011217,0.0175502545480594,0.0695400672969822,0.0717321663969352,0.617775,-0.407701903363207,0.534505060169416,-0.331346722424366,0.458196873453444,-0.197271908427317,-0.200350926333822,0.797225,-0.65373567234298,0.279636380932034,-0.581781754236375,0.201984940027919,0.999284762851205,0.999466936512491,0.997607615411685,0.99990850893108,0.998079284615342,0.999875325085648,"77","122","63","118","100","119","137"
"AMCR",3,"American Crow","Corvus brachyrhynchos",3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,448.8,36.5,1.88669678465808,"2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","N",NA,NA,-0.38604154904807,-0.381046863249136,0.80575,-1.28859726339997,0.489354311883781,-1.13734405689351,0.343332764015251,-0.179010866238664,-0.175442283269465,0.7125,-0.818018641516811,0.432918760152058,-0.706513356639086,0.332022358806044,-0.226520677730981,-0.227252194016711,0.760225,-0.853135641666387,0.407825616560807,-0.75202936358828,0.305719597694498,0.186207494078483,0.187439242424508,0.742075,-0.403578794575347,0.775561657734705,-0.304602087242217,0.676399283589129,-0.116337886714859,-0.117459728358487,0.66055,-0.679708262180749,0.451445986392719,-0.588036239617949,0.358975727440635,0.962942757783595,0.984985907955537,0.78153575545954,0.999486674913474,0.851783500920096,0.998998175763017,"69","8","87","114","101","138","19"
"AMKE",4,"American Kestrel","Falco sparverius",82,1,0,0,0,0,NA,2,NA,NA,NA,NA,114.6,43.7,0.950270539233235,"2_Uncertain","2_Uncertain","2_Uncertain","3_Positive","3_Positive","Y",NA,"Less urban, lower overall occupancy",-0.0249021766101425,-0.0206644979107173,0.5391,-0.468795514781283,0.391315459115847,-0.386769315337104,0.324065886578093,0.0600864148475559,0.0610444375247161,0.60545,-0.39402253084621,0.510556407346915,-0.316867109315506,0.440572861666608,0.25228613575932,0.252607167340634,0.86435,-0.212158623459467,0.713895633499284,-0.130937133050949,0.636021321574867,0.365454558976709,0.358234190397038,0.97055,-0.0143976854262323,0.790393112475376,0.0451272569030907,0.711308278287585,0.400205626260869,0.394087009489127,0.97365,-0.00628373752326582,0.837681876271536,0.0623575597950754,0.76143456950889,0.978452243466004,0.987524769820717,0.904515058115792,0.998867537969262,0.929696036570081,0.998255468907009,"102","42","116","90","115","109","29"
"ANHU",5,"Anna's Hummingbird","Calypte anna",559,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4.2,65.6,0.325082973391448,"3_Adapter","2_Uncertain","2_Uncertain","2_Uncertain","3_Positive","Y",NA,"Less urban",0.661538004236606,0.660895349061105,1,0.397783951716265,0.928408446349069,0.440648825316596,0.884126303010208,0.227409271244621,0.227053449151999,0.9231,-0.0855838272419781,0.542427696035706,-0.0347537718856088,0.490752855242248,0.0118324778425657,0.0123416071924597,0.533625,-0.266046638006388,0.291469325981329,-0.22139049332758,0.244377989162265,0.13426491414224,0.134889374344143,0.87475,-0.097922417584008,0.357946702040649,-0.0596218277339586,0.322911167412374,0.221337568225644,0.222280402645134,0.960775,-0.0265854169718899,0.46124994757964,0.015049394084474,0.423755859019825,0.96790400734314,0.969571841859256,0.940223303161707,0.986374010310195,0.945835112751609,0.984218935553086,"129","100","76","3","138","40","9"
"ATFL",6,"Ash-throated Flycatcher","Myiarchus cinerascens",182,0,0,0,0,0,NA,NA,NA,NA,NA,NA,28.2,20.4,0.801818552543337,"1_Avoider","2_Uncertain","1_Negative","1_Negative","2_Uncertain","Y","Less urban","Higher overall occupancy",-1.5986542062788,-1.58543346324657,1,-2.13253689755823,-1.13881293190982,-2.03408932172565,-1.20623991143031,-0.142524500868,-0.142900686263804,0.74765,-0.566779547993952,0.27965775612397,-0.496963431490965,0.209722997677702,-0.419741322125377,-0.415663414666092,0.980275,-0.840025913620944,-0.0185574636174752,-0.766699892578463,-0.0821498766718174,-0.590387799354027,-0.58629086147015,0.998875,-1.00044522102508,-0.204587210920793,-0.927852294529568,-0.265478097581096,0.10280681288265,0.0993233181768958,0.680275,-0.291394118198379,0.524701953009291,-0.235031281672471,0.455940955091532,0.938042862454608,0.94820568396465,0.831020622856827,0.987417791379225,0.857524201825607,0.983967197052026,"1","9","1","56","27","85","4"
"BAEA",7,"Bald Eagle","Haliaeetus leucocephalus",10,1,0,0,0,0,"Fish eating",1,"SC","P","S","S",4700.6,41.4,1.3661588475692,"1_Avoider","2_Uncertain","1_Negative","2_Uncertain","2_Uncertain","Y","Less urban",NA,-0.938969318719412,-0.926116135626803,0.983325,-1.87393866444348,-0.0667652074466009,-1.71843403988395,-0.204214732450389,-0.0155838630704742,-0.0155281864800712,0.5207,-0.632797430999075,0.606345927239695,-0.529789669319076,0.506382430490594,-0.566918281152562,-0.564806568787681,0.955525,-1.24564392637155,0.0915135801319956,-1.12692233568829,-0.0182611508512955,0.35153197752735,0.347054763643671,0.898275,-0.186973163038692,0.92052918932828,-0.100889215458723,0.818419509034566,-0.299677272235036,-0.295753909735517,0.843425,-0.899037223347532,0.279691054572996,-0.799991208304938,0.188148173262994,0.996928259347398,0.998404359881975,0.985305888051809,0.999891809100469,0.989408702483417,0.999826100311933,"16","28","113","139","113","132","123"
"BBWD",8,"Black-bellied Whistling-Duck","Dendrocygna autumnalis",11,0,0,0,1,0,"Dabbler",2,NA,NA,NA,NA,755.3,32.7,0.325082973391448,"2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","N",NA,NA,-0.150624762562415,-0.147111617944619,0.633275,-1.01202663861841,0.702276892412074,-0.871684888596445,0.563268080785924,0.162308933973443,0.157253633705474,0.708725,-0.427213429694705,0.759355511132203,-0.328233923582718,0.663945455332061,-0.524701113670405,-0.523427553916389,0.949675,-1.15708281367833,0.100064308236107,-1.05576212720824,0.00102358693595816,0.35141539269112,0.355331425916892,0.90215,-0.188489678501468,0.873531550324542,-0.0997633855088776,0.789985190936193,-0.0137831652555159,-0.0198238995123379,0.52785,-0.522967982555206,0.532870120522074,-0.446187198800999,0.438620965640927,0.99846358511005,0.999186404891384,0.992673172464561,0.999931771807639,0.994708541647744,0.999895375640877,"94","72","115","121","90","32","134"
"BCFL",9,"Brown-crested Flycatcher","Myiarchus tyrannulus",8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,35.5,16.6,0.801818552543337,"1_Avoider","2_Uncertain","2_Uncertain","2_Uncertain","2_Uncertain","N",NA,NA,-1.07329220186402,-1.06036031583596,0.997025,-1.92389036035004,-0.294468641871923,-1.78415466967542,-0.412439665345327,-0.0823801369838253,-0.0819009845191034,0.609425,-0.659590329474762,0.496207281536686,-0.568438973964602,0.403078168450532,-0.278823852813749,-0.278038462631214,0.825225,-0.881300338372904,0.311999306169328,-0.777341648576115,0.216573850512447,0.0400701487407177,0.0381360974630969,0.553425,-0.511735905380581,0.605726330203559,-0.42409254098686,0.509585864000148,-0.344402418003559,-0.344572805482441,0.903325,-0.864079589108703,0.170942087307971,-0.782195919138175,0.0910241513704291,0.987936429688723,0.993216886198004,0.944362220435585,0.999130191797545,0.961146902493353,0.998771506486574,"11","16","55","62","14","84","71"
"BCHU",10,"Black-chinned Hummingbird","Archilochus alexandri",59,0,1,0,0,0,NA,NA,NA,NA,NA,NA,3.4,64.4,0.325082973391448,"2_Uncertain","3_Positive","2_Uncertain","2_Uncertain","2_Uncertain","Y","Higher overall occupancy",NA,-0.235464003029763,-0.234224110448747,0.86035,-0.670139832826918,0.186722914566724,-0.599775713899427,0.121444370539077,0.5759937773141,0.572848080492456,0.991975,0.106750807928474,1.06296840121343,0.180229473568028,0.979501166546172,-0.0243188198065355,-0.0236890031218706,0.541875,-0.482560513942434,0.434070139999543,-0.410285689053109,0.357966809272906,0.249074513941445,0.247130279776068,0.890925,-0.142790324488397,0.6511256233567,-0.0790501381173584,0.583862420415096,0.104108534944139,0.100057343905327,0.68525,-0.299016516155543,0.531692327014455,-0.237101071905114,0.459130507303374,0.998177014468626,0.998605005037617,0.994079084786326,0.999727329573531,0.995221436934756,0.99963806845852,"82","138","101","2","137","39","129"
