"common_name","sci_name","code","det_project","det_1_winter","det_2_spring","abundance_mean","nombre_comun_MX"
"Abert's Towhee","Melozone aberti","ABTO",831,421,410,0.326337719298246,"Rascador Enmascarado"
"American Coot","Fulica americana","AMCO",61,35,26,0.0478070175438597,"Gallareta Americana"
"American Crow","Corvus brachyrhynchos","AMCR",3,0,3,0.00087719298245614,"Cuervo Norteamericano"
"American Kestrel","Falco sparverius","AMKE",243,161,82,0.0603070175438596,"Cernícalo Americano"
"Anna's Hummingbird","Calypte anna","ANHU",1312,753,559,0.369265350877193,"Colibrí Cabeza Roja"
"Ash-throated Flycatcher","Myiarchus cinerascens","ATFL",189,7,182,0.055219298245614,"Papamoscas Garganta Ceniza"
"Bald Eagle","Haliaeetus leucocephalus","BAEA",22,12,10,0.00526315789473684,"Águila Cabeza Blanca"
"Bell's Vireo","Vireo bellii","BEVI",41,0,41,0.0118421052631579,"Vireo de Bell"
"Belted Kingfisher","Megaceryle alcyon","BEKI",27,19,8,0.00657894736842105,"Martín Pescador Norteño"
"Bendire's Thrasher","Toxostoma bendirei","BETH",8,2,6,0.00175438596491228,"Cuicacoche Pico Corto"
"Bewick's Wren","Thryomanes bewickii","BEWR",59,38,21,0.0169956140350877,"Saltapared Cola Larga"
"Black Phoebe","Sayornis nigricans","BLPH",123,97,26,0.0336622807017544,"Papamoscas Negro"
"Black Vulture","Coragyps atratus","BLVU",4,2,2,0.00197368421052631,"Zopilote Común"
"Black-bellied Whistling-Duck","Dendrocygna autumnalis","BBWD",11,0,11,0.00723684210526315,"Pijije Alas Blancas"
"Black-chinned Hummingbird","Archilochus alexandri","BCHU",59,0,59,0.0159429824561403,"Colibrí Barba Negra"
"Black-crowned Night-Heron","Nycticorax nycticorax","BCNH",89,46,43,0.0743421052631579,"Garza Nocturna Corona Negra"
"Black-headed Grosbeak","Pheucticus melanocephalus","BHGR",2,0,2,0.00043859649122807,"Picogordo Tigrillo"
"Black-necked Stilt","Himantopus mexicanus","BNST",12,6,6,0.00942982456140351,"Monjita Americana"
"Black-tailed Gnatcatcher","Polioptila melanura","BTGN",298,157,141,0.0915570175438596,"Perlita del Desierto"
"Black-throated Gray Warbler","Setophaga nigrescens","BTYW",10,1,9,0.00241228070175438,"Chipe Negrogrís"
"Black-throated Sparrow","Amphispiza bilineata","BTSP",356,197,159,0.229934210526316,"Zacatonero Garganta Negra"
"Blue-gray Gnatcatcher","Polioptila caerulea","BGGN",11,8,3,0.00328947368421052,"Perlita Azulgrís"
"Blue-winged Teal","Spatula discors","BWTE",4,1,3,0.00241228070175439,"Cerceta Alas Azules"
"Brewer's Blackbird","Euphagus cyanocephalus","BRBL",26,16,10,0.0543859649122807,"Tordo Ojos Amarillos"
"Brewer's Sparrow","Spizella breweri","BRSP",160,25,135,0.194298245614035,"Gorrión de Brewer"
"Bronzed Cowbird","Molothrus aeneus","BROC",5,1,4,0.00263157894736842,"Tordo Ojos Rojos"
"Brown-crested Flycatcher","Myiarchus tyrannulus","BCFL",8,0,8,0.00197368421052631,"Papamoscas Gritón"
"Brown-headed Cowbird","Molothrus ater","BHCO",204,6,198,0.14030701754386,"Tordo Cabeza Café"
"Bullock's Oriole","Icterus bullockii","BUOR",21,0,21,0.00548245614035087,"Calandria Cejas Naranjas"
"Burrowing Owl","Athene cunicularia","BUOW",34,9,25,0.0146929824561404,"Tecolote Llanero"
"Cactus Wren","Campylorhynchus brunneicapillus","CACW",554,237,317,0.173081140350877,"Matraca del Desierto"
"Canada Goose","Branta canadensis","CANG",108,66,42,0.201425438596491,"Ganso Canadiense Mayo"
"Canyon Towhee","Melozone fusca","CANT",28,13,15,0.00723684210526316,"Rascador Viejita"
"Cassin's Vireo","Vireo cassinii","CAVI",4,2,2,0.00100877192982456,"Vireo de Cassin"
"Cattle Egret","Bubulcus ibis","CAEG",8,2,6,0.00526315789473684,"Garza Ganadera"
"Chipping Sparrow","Spizella passerina","CHSP",20,4,16,0.0109649122807018,"Gorrión Cejas Blancas"
"Cinnamon Teal","Spatula cyanoptera","CITE",15,5,10,0.0171052631578947,"Cerceta Canela"
"Cliff Swallow","Petrochelidon pyrrhonota","CLSW",24,1,23,0.0662280701754386,"Golondrina Risquera"
"Common Gallinule","Gallinula galeata","COGA",30,12,18,0.018640350877193,"Gallineta Frente Roja"
"Common Raven","Corvus corax","CORA",451,273,178,0.189144736842105,"Cuervo Común"
"Common Yellowthroat","Geothlypis trichas","COYE",113,27,86,0.0373245614035087,"Mascarita Común"
"Cooper's Hawk","Accipiter cooperii","COHA",65,50,15,0.0152412280701754,"Gavilán de Cooper"
"Costa's Hummingbird","Calypte costae","COHU",185,84,101,0.0481359649122807,"Colibrí Cabeza Violeta"
"Curve-billed Thrasher","Toxostoma curvirostre","CBTH",718,310,408,0.209616228070175,"Cuicacoche Pico Curvo"
"Dark-eyed Junco","Junco hyemalis","DEJU",22,20,2,0.0212719298245614,"Junco Ojos Negros"
"Double-crested Cormorant","Nannopterum auritum","DCCO",181,104,77,0.298245614035088,"Cormorán Orejón"
"Eurasian Collared-Dove","Streptopelia decaocto","EUCD",186,70,116,0.0660087719298245,"Paloma de Collar Turca"
"European Starling","Sturnus vulgaris","EUST",627,231,396,0.559703947368421,"Estornino Pinto"
"Gadwall","Mareca strepera","GADW",17,14,3,0.0173245614035088,"Pato Friso"
"Gambel's Quail","Callipepla gambelii","GAQU",526,100,426,0.367763157894737,"Codorniz de Gambel"
"Gila Woodpecker","Melanerpes uropygialis","GIWO",666,305,361,0.199835526315789,"Carpintero del Desierto"
"Gilded Flicker","Colaptes chrysoides","GIFL",85,49,36,0.0221491228070175,"Carpintero de Pechera Común"
"Gray Flycatcher","Empidonax wrightii","GRFL",9,1,8,0.00219298245614035,"Papamoscas Bajacolita"
"Great Blue Heron","Ardea herodias","GBHE",249,112,137,0.190570175438597,"Garza Morena"
"Great Egret","Ardea alba","GREG",164,90,74,0.169407894736842,"Garza Blanca"
"Great Horned Owl","Bubo virginianus","GHOW",14,7,7,0.00416666666666667,"Búho Cornudo"
"Great-tailed Grackle","Quiscalus mexicanus","GTGR",1167,483,684,0.908684210526316,"Zanate Mayor"
"Greater Roadrunner","Geococcyx californianus","GRRO",32,9,23,0.00833333333333333,"Correcaminos Norteño"
"Greater Yellowlegs","Tringa melanoleuca","GRYE",12,8,4,0.00460526315789473,"Patamarilla Mayor"
"Green Heron","Butorides virescens","GRHE",32,20,12,0.00899122807017543,"Garcita Verde"
"Green-tailed Towhee","Pipilo chlorurus","GTTO",24,5,19,0.00570175438596491,"Rascador Cola Verde"
"Harris's Hawk","Parabuteo unicinctus","HAHA",22,15,7,0.00614035087719298,"Aguililla Rojinegra"
"Hermit Thrush","Catharus guttatus","HETH",7,5,2,0.00153508771929824,"Zorzal Cola Canela"
"Hermit Warbler","Setophaga occidentalis","HEWA",2,0,2,0.000350877192982456,"Chipe Cabeza Amarilla"
"Hooded Oriole","Icterus cucullatus","HOOR",4,0,4,0.00109649122807017,"Calandria Dorso Negro Menor"
"Horned Lark","Eremophila alpestris","HOLA",43,21,22,0.0475877192982456,"Alondra Cornuda"
"House Finch","Haemorhous mexicanus","HOFI",1447,646,801,1.07433114035088,"Pinzón Mexicano"
"House Sparrow","Passer domesticus","HOSP",1583,704,879,2.2146600877193,"Gorrión Doméstico"
"House Wren","Troglodytes aedon","HOWR",10,8,2,0.00263157894736842,"Saltapared Común"
"Inca Dove","Columbina inca","INDO",334,108,226,0.177894736842105,"Tortolita Cola Larga"
"Killdeer","Charadrius vociferus","KILL",131,37,94,0.05375,"Chorlo Tildío"
"Ladder-backed Woodpecker","Dryobates scalaris","LBWO",87,45,42,0.0208333333333333,"Carpintero Mexicano"
"Lark Bunting","Calamospiza melanocorys","LARB",6,1,5,0.0427631578947368,"Gorrión Alas Blancas"
"Lark Sparrow","Chondestes grammacus","LASP",27,9,18,0.0379385964912281,"Gorrión Arlequín"
"Lazuli Bunting","Passerina amoena","LAZB",11,0,11,0.00416666666666667,"Colorín Pecho Canela"
"Least Sandpiper","Calidris minutilla","LESA",12,9,3,0.0184210526315789,"Playero Diminuto"
"Lesser Goldfinch","Spinus psaltria","LEGO",194,71,123,0.103399122807018,"Jilguerito Dominico"
"Lesser Nighthawk","Chordeiles acutipennis","LENI",4,0,4,0.00131578947368421,"Chotacabras Menor"
"Lincoln's Sparrow","Melospiza lincolnii","LISP",25,15,10,0.00888157894736842,"Gorrión de Lincoln"
"Loggerhead Shrike","Lanius ludovicianus","LOSH",51,30,21,0.012719298245614,"Verdugo Americano"
"Lucy's Warbler","Leiothlypis luciae","LUWA",85,0,85,0.0271929824561403,"Chipe Rabadilla Castaña"
"MacGillivray's Warbler","Geothlypis tolmiei","MGWA",14,0,14,0.0031140350877193,"Chipe Lores Negros"
"Mallard","Anas platyrhynchos","MALL",386,173,213,0.541666666666667,"Pato de Collar"
"Marsh Wren","Cistothorus palustris","MAWR",55,40,15,0.0240131578947368,"Saltapared Pantanero"
"Merlin","Falco columbarius","MERL",5,2,3,0.00109649122807017,"Halcón Esmerejón"
"Mourning Dove","Zenaida macroura","MODO",1520,543,977,1.19989035087719,"Huilota Común"
"Neotropic Cormorant","Nannopterum brasilianum","NECO",52,27,25,0.0475877192982456,"Cormorán Neotropical"
"Northern Cardinal","Cardinalis cardinalis","NOCA",91,30,61,0.0260964912280702,"Cardenal Rojo"
"Northern Flicker","Colaptes auratus","NOFL",83,60,23,0.0209429824561403,"Carpintero de Pechera Común"
"Northern Harrier","Circus hudsonius","NOHA",69,61,8,0.0169956140350877,"Gavilán Rastrero"
"Northern Mockingbird","Mimus polyglottos","NOMO",737,293,444,0.216118421052632,"Centzontle Norteño"
"Northern Pintail","Anas acuta","NOPI",28,26,2,0.147149122807018,"Pato Golondrino"
"Northern Rough-winged Swallow","Stelgidopteryx serripennis","NRWS",55,14,41,0.0446491228070175,"Golondrina Alas Aserradas"
"Northern Shoveler","Spatula clypeata","NSHO",41,28,13,0.121491228070175,"Pato Cucharón Norteño"
"Orange-crowned Warbler","Leiothlypis celata","OCWA",119,71,48,0.0360964912280702,"Chipe Oliváceo"
"Osprey","Pandion haliaetus","OSPR",29,19,10,0.00745614035087719,"Águila Pescadora"
"Peregrine Falcon","Falco peregrinus","PEFA",21,17,4,0.00482456140350877,"Halcón Peregrino"
"Phainopepla","Phainopepla nitens","PHAI",194,127,67,0.0668311403508772,"Capulinero Negro"
"Pied-billed Grebe","Podilymbus podiceps","PBGR",13,8,5,0.00570175438596491,"Zambullidor Pico Grueso"
"Plumbeous Vireo","Vireo plumbeus","PLVI",3,0,3,0.000657894736842105,"Vireo Plomizo"
"Red-tailed Hawk","Buteo jamaicensis","RTHA",399,277,122,0.109100877192982,"Aguililla Cola Roja"
"Red-winged Blackbird","Agelaius phoeniceus","RWBL",237,48,189,0.475986842105263,"Tordo Sargento"
"Ring-necked Duck","Aythya collaris","RNDU",43,39,4,0.111622807017544,"Pato Pico Anillado"
"Rock Pigeon","Columba livia","ROPI",496,240,256,0.480975877192982,"Paloma Doméstica"
"Rock Wren","Salpinctes obsoletus","ROWR",84,55,29,0.0281798245614035,"Saltapared de Rocas"
"Rosy-faced Lovebird","Agapornis roseicollis","RFLO",26,12,14,0.00899122807017544,"Periquito de Namibia"
"Ruby-crowned Kinglet","Corthylio calendula","RCKI",245,230,15,0.0710745614035087,"Reyezuelo Matraquita"
"Ruddy Duck","Oxyura jamaicensis","RUDU",13,11,2,0.0111842105263158,"Pato Tepalcate"
"Rufous-crowned Sparrow","Aimophila ruficeps","RCSP",3,1,2,0.000657894736842105,"Zacatonero Corona Canela"
